repository,repo_url,file_path,line_number,code_snippet,explanation
animikhaich/Facial-Recognition-Dashboard,https://github.com/animikhaich/Facial-Recognition-Dashboard,app.py,21,"    19: os.environ['TF_FORCE_GPU_ALLOW_GROWTH'] = 'true'
    20: 
>>> 21: sess = tf.Session()
    22: graph = tf.get_default_graph()
    23: set_session(sess)",TF Session assigned without .close() or context manager. GPU memory is never released.
stephenroller/emnlp2016,https://github.com/stephenroller/emnlp2016,nn.py,100,"    98:             self.dropout_: 0.0,
    99:         }
>>> 100:         for epoch in xrange(1, EPOCHS+1):
    101:             X, y, weights = shuffle(X, y, weights)
    102:             for mb in xrange(len(X) / BATCH_SIZE):",Training calls inside loop with no GPU memory cleanup (clear_session/del model/reset_default_graph/sess.close). Each iteration accumulates GPU memory → OOM.
stephenroller/emnlp2016,https://github.com/stephenroller/emnlp2016,nn.py,102,"    100:         for epoch in xrange(1, EPOCHS+1):
    101:             X, y, weights = shuffle(X, y, weights)
>>> 102:             for mb in xrange(len(X) / BATCH_SIZE):
    103:                 i, j = mb * BATCH_SIZE, max(len(X), (mb + 1) * BATCH_SIZE)
    104:                 fd = {",Training calls inside loop with no GPU memory cleanup (clear_session/del model/reset_default_graph/sess.close). Each iteration accumulates GPU memory → OOM.
Zziwei/Item-Underrecommendation-Bias,https://github.com/Zziwei/Item-Underrecommendation-Bias,BPR.py,115,"    113:         num_batch = int(len(user_list) / float(self.batch_size)) + 1
    114:         random_idx = np.random.permutation(len(user_list))
>>> 115:         for i in range(num_batch):
    116: 
    117:             # get the indices of the current batch",Training calls inside loop with no GPU memory cleanup (clear_session/del model/reset_default_graph/sess.close). Each iteration accumulates GPU memory → OOM.
aitorzip/Keras-ICNet,https://github.com/aitorzip/Keras-ICNet,test,28,"    26: config = tf.ConfigProto()
    27: config.gpu_options.allow_growth = True
>>> 28: sess = tf.Session(config=config)
    29: K.set_session(sess)
    30: ",TF Session assigned without .close() or context manager. GPU memory is never released.
Pyrofoux/Drowsy,https://github.com/Pyrofoux/Drowsy,source/GAN.py,26,"    24: config.gpu_options.allow_growth = True
    25: config.log_device_placement     = True
>>> 26: sess = tf.Session(config=config)
    27: 
    28: import os",TF Session assigned without .close() or context manager. GPU memory is never released.
Pyrofoux/Drowsy,https://github.com/Pyrofoux/Drowsy,source/GAN.py,54,"    52:         
    53:         
>>> 54:         self.D = Sequential();
    55:         
    56:         depth = self.depth",4 model instantiations with no clear_session() or reset_default_graph(). Each model accumulates GPU memory from prior models — never freed.
Pyrofoux/Drowsy,https://github.com/Pyrofoux/Drowsy,source/GAN.py,92,"    90:             return self.G
    91:         
>>> 92:         self.G = Sequential()
    93:         
    94:         dropout = self.dropout",4 model instantiations with no clear_session() or reset_default_graph(). Each model accumulates GPU memory from prior models — never freed.
Pyrofoux/Drowsy,https://github.com/Pyrofoux/Drowsy,source/GAN.py,157,"    155:         
    156:         optimizer = RMSprop(lr=1e-5, decay=6e-8)
>>> 157:         self.DM = Sequential()
    158:         self.DM.add(self.discriminator())
    159:         self.DM.compile(loss='binary_crossentropy', optimizer=optimizer,\",4 model instantiations with no clear_session() or reset_default_graph(). Each model accumulates GPU memory from prior models — never freed.
Pyrofoux/Drowsy,https://github.com/Pyrofoux/Drowsy,source/GAN.py,172,"    170:         
    171:         optimizer = RMSprop(lr=0.0001, decay=3e-8)
>>> 172:         self.AM = Sequential()
    173:         self.AM.add(self.generator())
    174:         self.AM.add(self.discriminator())",4 model instantiations with no clear_session() or reset_default_graph(). Each model accumulates GPU memory from prior models — never freed.
kendryte/kendryte-tensorflow,https://github.com/kendryte/kendryte-tensorflow,tensorflow/lite/tutorials/mnist_tflite.py,40,"    38:         flags.data_dir).make_one_shot_iterator().get_next()
    39:     try:
>>> 40:       while True:
    41:         yield sess.run(input_data)
    42:     except tf.errors.OutOfRangeError:",Training calls inside loop with no GPU memory cleanup (clear_session/del model/reset_default_graph/sess.close). Each iteration accumulates GPU memory → OOM.
527515025/My-TensorFlow-tutorials,https://github.com/527515025/My-TensorFlow-tutorials,猫狗识别/training.py,53,"    51:       
    52:     try:  
>>> 53:         for step in np.arange(MAX_STEP):  
    54:             if coord.should_stop():  
    55:                     break  ",Training calls inside loop with no GPU memory cleanup (clear_session/del model/reset_default_graph/sess.close). Each iteration accumulates GPU memory → OOM.
bhansconnect/alpha_zero_othello,https://github.com/bhansconnect/alpha_zero_othello,lib/tf_util.py,12,"    10:         )
    11:     )
>>> 12:     sess = tf.Session(config=tfconfig)
    13:     K.set_session(sess)",TF Session assigned without .close() or context manager. GPU memory is never released.
clferrari/deep-3dmm-refinement,https://github.com/clferrari/deep-3dmm-refinement,refinement.py,20,"    18: 		self.x = self.graph.get_tensor_by_name('prefix/z:0')			
    19: 		self.y = self.graph.get_tensor_by_name('prefix/gen/decoder/256x256/to_image/Tanh:0')
>>> 20: 		self.sess = tf.Session(graph=self.graph)
    21: 
    22: 	def refine(self, img):",TF Session assigned without .close() or context manager. GPU memory is never released.
watsonyanghx/CNN_LSTM_CTC_Tensorflow,https://github.com/watsonyanghx/CNN_LSTM_CTC_Tensorflow,main.py,58,"    56: 
    57:         print('=============================begin training=============================')
>>> 58:         for cur_epoch in range(FLAGS.num_epochs):
    59:             shuffle_idx = np.random.permutation(num_train_samples)
    60:             train_cost = 0",Training calls inside loop with no GPU memory cleanup (clear_session/del model/reset_default_graph/sess.close). Each iteration accumulates GPU memory → OOM.
watsonyanghx/CNN_LSTM_CTC_Tensorflow,https://github.com/watsonyanghx/CNN_LSTM_CTC_Tensorflow,main.py,65,"    63: 
    64:             # the training part
>>> 65:             for cur_batch in range(num_batches_per_epoch):
    66:                 if (cur_batch + 1) % 100 == 0:
    67:                     print('batch', cur_batch, ': time', time.time() - batch_time)",Training calls inside loop with no GPU memory cleanup (clear_session/del model/reset_default_graph/sess.close). Each iteration accumulates GPU memory → OOM.
watsonyanghx/CNN_LSTM_CTC_Tensorflow,https://github.com/watsonyanghx/CNN_LSTM_CTC_Tensorflow,main.py,98,"    96:                     lastbatch_err = 0
    97:                     lr = 0
>>> 98:                     for j in range(num_batches_per_epoch_val):
    99:                         indexs_val = [shuffle_idx_val[i % num_val_samples] for i in
    100:                                       range(j * FLAGS.batch_size, (j + 1) * FLAGS.batch_size)]",Training calls inside loop with no GPU memory cleanup (clear_session/del model/reset_default_graph/sess.close). Each iteration accumulates GPU memory → OOM.
watsonyanghx/CNN_LSTM_CTC_Tensorflow,https://github.com/watsonyanghx/CNN_LSTM_CTC_Tensorflow,main.py,153,"    151: 
    152:         decoded_expression = []
>>> 153:         for curr_step in range(total_steps):
    154: 
    155:             imgs_input = []",Training calls inside loop with no GPU memory cleanup (clear_session/del model/reset_default_graph/sess.close). Each iteration accumulates GPU memory → OOM.
ECP-CANDLE/Benchmarks,https://github.com/ECP-CANDLE/Benchmarks,Pilot1/Uno/uno_contamination_keras2.py,357,"    355:     cv = args.cv if args.cv > 1 else 1
    356: 
>>> 357:     for fold in range(cv):
    358:         if args.cv > 1:
    359:             logger.info(""Cross validation fold {}/{}:"".format(fold + 1, cv))",Training calls inside loop with no GPU memory cleanup (clear_session/del model/reset_default_graph/sess.close). Each iteration accumulates GPU memory → OOM.
Ascend/ModelZoo-TensorFlow,https://github.com/Ascend/ModelZoo-TensorFlow,TensorFlow/contrib/cv/Deep-SLR_ID2122_for_TensorFlow/tst_HDSLR_parallel_mri.py,101,"    99:         atbT = graph.get_tensor_by_name('atb:0')
    100:         wts = sess.run(tf.global_variables())
>>> 101:         for i in tqdm(range(nImg)):
    102:             dataDict = {atbT: atb[[i]], maskT: mask[[i]]}
    103:             rec[i] = sess.run(fhatT, feed_dict=dataDict)",Training calls inside loop with no GPU memory cleanup (clear_session/del model/reset_default_graph/sess.close). Each iteration accumulates GPU memory → OOM.
jiangxinyang227/model_quantization,https://github.com/jiangxinyang227/model_quantization,LeNet/post_training_quantized/remove_train_param.py,27,"    25: graph = tf.Graph()
    26: with graph.as_default():
>>> 27:     sess = tf.Session()
    28:     checkpoint_file = tf.train.latest_checkpoint(model_dir)
    29:     saver = tf.train.import_meta_graph(""{}.meta"".format(checkpoint_file))",TF Session assigned without .close() or context manager. GPU memory is never released.
gechiru/RNPRF-RNDFF-RNPMF,https://github.com/gechiru/RNPRF-RNDFF-RNPMF,Houston_code/SSRN_Houston_LiDAR_EPLBP.py,15,"    13: config=tf.ConfigProto()
    14: config.gpu_options.allow_growth= True
>>> 15: sess=tf.Session(config=config)
    16: 
    17: # -*- coding: utf-8 -*-",TF Session assigned without .close() or context manager. GPU memory is never released.
erictzeng/adda,https://github.com/erictzeng/adda,tools/eval_segmentation.py,101,"    99:     config = tf.ConfigProto(device_count=dict(GPU=1))
    100:     config.gpu_options.allow_growth = True
>>> 101:     sess = tf.Session(config=config)
    102:     coord = tf.train.Coordinator()
    103:     threads = tf.train.start_queue_runners(sess=sess, coord=coord)",TF Session assigned without .close() or context manager. GPU memory is never released.
erictzeng/adda,https://github.com/erictzeng/adda,tools/eval_segmentation.py,114,"    112:     intersections = np.zeros((dataset.num_classes,))
    113:     unions = np.zeros((dataset.num_classes,))
>>> 114:     for i in tqdm(range(len(split))):
    115:         start = time.time()
    116:         predictions, im, gt = sess.run([net, im_batch, label_batch])",Training calls inside loop with no GPU memory cleanup (clear_session/del model/reset_default_graph/sess.close). Each iteration accumulates GPU memory → OOM.
GanAHE/GNSSAMS,https://github.com/GanAHE/GNSSAMS,window/actionOperate/actionPicturesDetectionThread.py,21,"    19: config = ConfigProto()
    20: config.gpu_options.allow_growth = True
>>> 21: session = tf.Session(config=config)
    22: warnings.filterwarnings('ignore')
    23: ",TF Session assigned without .close() or context manager. GPU memory is never released.
studio-ousia/ease,https://github.com/studio-ousia/ease,SentEval/examples/googleuse.py,27,"    25: 
    26: # tensorflow session
>>> 27: session = tf.Session()
    28: os.environ[""TF_CPP_MIN_LOG_LEVEL""] = ""2""
    29: ",TF Session assigned without .close() or context manager. GPU memory is never released.
hi-zhengcheng/multi-label-classification,https://github.com/hi-zhengcheng/multi-label-classification,evaluate.py,44,"    42: 	sum_losses = 0.0
    43: 	start_time = time.time()
>>> 44: 	for i in range(num_eval_batches):
    45: 		loss = sess.run(model.total_loss)
    46: 		tf.logging.info(""Computed losses for {} of {} batches: {}"".format(i + 1, num_eval_batches, loss))",Training calls inside loop with no GPU memory cleanup (clear_session/del model/reset_default_graph/sess.close). Each iteration accumulates GPU memory → OOM.
zzyunzhi/asynch-mb,https://github.com/zzyunzhi/asynch-mb,run_scripts/sequential_exp/me_ppo_run_sweep.py,31,"    29:     config.gpu_options.allow_growth = True
    30:     config.gpu_options.per_process_gpu_memory_fraction = kwargs.get('gpu_frac', 0.95)
>>> 31:     sess = tf.Session(config=config)
    32:     with sess.as_default() as sess:
    33:         # Instantiate classes",TF Session assigned without .close() or context manager. GPU memory is never released.
lstappen/MuSe2020,https://github.com/lstappen/MuSe2020,end2you/training/evaluate.py,67,"    65:             evaluated_gts = []
    66:             
>>> 67:             for k in range(num_batches):
    68:                 pr = sess.run(prediction)
    69:                 evaluated_preds.append(pr[0])",Training calls inside loop with no GPU memory cleanup (clear_session/del model/reset_default_graph/sess.close). Each iteration accumulates GPU memory → OOM.
pschaldenbrand/ContentMaskedLoss,https://github.com/pschaldenbrand/ContentMaskedLoss,fid.py,146,"    144:     n_batches = n_images//batch_size
    145:     pred_arr = np.empty((n_images,2048))
>>> 146:     for i in range(n_batches):
    147:         if verbose:
    148:             print(""\rPropagating batch %d/%d"" % (i+1, n_batches), end="""", flush=True)",Training calls inside loop with no GPU memory cleanup (clear_session/del model/reset_default_graph/sess.close). Each iteration accumulates GPU memory → OOM.
pschaldenbrand/ContentMaskedLoss,https://github.com/pschaldenbrand/ContentMaskedLoss,fid.py,279,"    277:     n_batches = n_imgs//batch_size + 1
    278:     pred_arr = np.empty((n_imgs,2048))
>>> 279:     for i in range(n_batches):
    280:         if verbose:
    281:             print(""\rPropagating batch %d/%d"" % (i+1, n_batches), end="""", flush=True)",Training calls inside loop with no GPU memory cleanup (clear_session/del model/reset_default_graph/sess.close). Each iteration accumulates GPU memory → OOM.
luyang-huang96/EntityDrivenSumm,https://github.com/luyang-huang96/EntityDrivenSumm,coherence_interface/coherence_inference.py,132,"    130:     config=tf.ConfigProto(gpu_options=gpu_options, device_count = {'GPU': gpu_use})
    131:     config.gpu_options.visible_device_list= str(gpu_use)
>>> 132:     sess = tf.Session(config=config)
    133:     model = SeqMatchNet(trained_wordvec=False, word_vector=None, vocab_size=len(word_dict), args=None)
    134:     saver = tf.train.Saver(tf.global_variables())",TF Session assigned without .close() or context manager. GPU memory is never released.
527515025/pythonLean,https://github.com/527515025/pythonLean,AI/猫狗识别/training.py,53,"    51:       
    52:     try:  
>>> 53:         for step in np.arange(MAX_STEP):  
    54:             if coord.should_stop():  
    55:                     break  ",Training calls inside loop with no GPU memory cleanup (clear_session/del model/reset_default_graph/sess.close). Each iteration accumulates GPU memory → OOM.
VisionLearningGroup/taskcv-2017-public,https://github.com/VisionLearningGroup/taskcv-2017-public,classification/model/ADDA/tools/eval_segmentation.py,101,"    99:     config = tf.ConfigProto(device_count=dict(GPU=1))
    100:     config.gpu_options.allow_growth = True
>>> 101:     sess = tf.Session(config=config)
    102:     coord = tf.train.Coordinator()
    103:     threads = tf.train.start_queue_runners(sess=sess, coord=coord)",TF Session assigned without .close() or context manager. GPU memory is never released.
VisionLearningGroup/taskcv-2017-public,https://github.com/VisionLearningGroup/taskcv-2017-public,classification/model/ADDA/tools/eval_segmentation.py,114,"    112:     intersections = np.zeros((dataset.num_classes,))
    113:     unions = np.zeros((dataset.num_classes,))
>>> 114:     for i in tqdm(range(len(split))):
    115:         start = time.time()
    116:         predictions, im, gt = sess.run([net, im_batch, label_batch])",Training calls inside loop with no GPU memory cleanup (clear_session/del model/reset_default_graph/sess.close). Each iteration accumulates GPU memory → OOM.
sunilmallya/keras-lambda,https://github.com/sunilmallya/keras-lambda,src/tensorflow/python/framework/graph_io.py,35,"    33:   ```python
    34:   v = tf.Variable(0, name='my_variable')
>>> 35:   sess = tf.Session()
    36:   tf.train.write_graph(sess.graph_def, '/tmp/my-model', 'train.pbtxt')
    37:   ```",TF Session assigned without .close() or context manager. GPU memory is never released.
sunilmallya/keras-lambda,https://github.com/sunilmallya/keras-lambda,src/tensorflow/python/framework/graph_io.py,43,"    41:   ```python
    42:   v = tf.Variable(0, name='my_variable')
>>> 43:   sess = tf.Session()
    44:   tf.train.write_graph(sess.graph, '/tmp/my-model', 'train.pbtxt')
    45:   ```",TF Session assigned without .close() or context manager. GPU memory is never released.
MehdiAbbanaBennani/continual-learning-ogdplus,https://github.com/MehdiAbbanaBennani/continual-learning-ogdplus,external/stable-continual-learning/external_libs/continual_learning_algorithms/conv_split_cifar.py,173,"    171:     batch_size = args.batch_size
    172:     # Loop over number of runs to average over
>>> 173:     for runid in range(args.num_runs):
    174:         print('\t\tRun %d:'%(runid))
    175: ",Training calls inside loop with no GPU memory cleanup (clear_session/del model/reset_default_graph/sess.close). Each iteration accumulates GPU memory → OOM.
MehdiAbbanaBennani/continual-learning-ogdplus,https://github.com/MehdiAbbanaBennani/continual-learning-ogdplus,external/stable-continual-learning/external_libs/continual_learning_algorithms/conv_split_cifar.py,230,"    228: 
    229:         # Training loop for all the tasks
>>> 230:         for task in range(len(task_labels)):
    231:             print('\t\tTask %d:'%(task))
    232:         ",Training calls inside loop with no GPU memory cleanup (clear_session/del model/reset_default_graph/sess.close). Each iteration accumulates GPU memory → OOM.
MehdiAbbanaBennani/continual-learning-ogdplus,https://github.com/MehdiAbbanaBennani/continual-learning-ogdplus,external/stable-continual-learning/external_libs/continual_learning_algorithms/conv_split_cifar.py,299,"    297: 
    298:             # Training loop for task T
>>> 299:             for iters in range(num_iters):
    300: 
    301:                 if args.train_single_epoch and not args.cross_validate_mode and not MULTI_TASK:",Training calls inside loop with no GPU memory cleanup (clear_session/del model/reset_default_graph/sess.close). Each iteration accumulates GPU memory → OOM.
JenifferWuUCLA/pulmonary-nodules-MaskRCNN,https://github.com/JenifferWuUCLA/pulmonary-nodules-MaskRCNN,Resources/TensorFlow-Deep-Learning-Practice/TensorFlow-Sourcecode/16/程序$-9.py,13,"    11: prob = vgg.probs
    12: 
>>> 13:     sess = tf.Session()
    14:     vgg.load_weights("".\\vgg16_weights_and_classe\\vgg16_weights.npz"",sess)
    15: ",TF Session assigned without .close() or context manager. GPU memory is never released.
ryfeus/gcf-packs,https://github.com/ryfeus/gcf-packs,tensorflow2.0/source/tensorflow/python/debug/examples/debug_keras.py,41,"    39:       (xs, ys)).repeat(num_examples).batch(int(num_examples / steps_per_epoch))
    40: 
>>> 41:   sess = tf.Session()
    42:   if FLAGS.debug:
    43:     # Use the command-line interface (CLI) of tfdbg.",TF Session assigned without .close() or context manager. GPU memory is never released.
diux-dev/cluster,https://github.com/diux-dev/cluster,psbench/launch_tf_adder.py,179,"    177:   install_script=""""""#!/bin/bash
    178: source /home/ubuntu/anaconda3/bin/activate tensorflow_p36
>>> 179: python -c ""import tensorflow as tf; sess=tf.Session()""
    180: pip install ray
    181: echo 'INSTALLED ray' > /home/ubuntu/ray_installed.txt",TF Session assigned without .close() or context manager. GPU memory is never released.
ZhenYangIACAS/NMT_GAN,https://github.com/ZhenYangIACAS/NMT_GAN,tensor2tensor/avg_checkpoints.py,88,"    86:   with tf.Session() as sess:
    87:     sess.run(tf.initialize_all_variables())
>>> 88:     for p, assign_op, (name, value) in zip(placeholders, assign_ops,
    89:                                            six.iteritems(var_values)):
    90:       sess.run(assign_op, {p: value})",Training calls inside loop with no GPU memory cleanup (clear_session/del model/reset_default_graph/sess.close). Each iteration accumulates GPU memory → OOM.
IBM/MAX-News-Text-Generator,https://github.com/IBM/MAX-News-Text-Generator,lm_1b/lm_1b_eval.py,77,"    75: 
    76:         sys.stderr.write('Recovering checkpoint %s\n' % ckpt_file)
>>> 77:         sess = tf.Session(config=tf.ConfigProto(allow_soft_placement=True))
    78:         sess.run('save/restore_all', {'save/Const:0': ckpt_file})
    79:         sess.run(t['states_init'])",TF Session assigned without .close() or context manager. GPU memory is never released.
IBM/MAX-News-Text-Generator,https://github.com/IBM/MAX-News-Text-Generator,lm_1b/lm_1b_eval.py,106,"    104:     prefix = [vocab.word_to_id(w) for w in prefix_words.split()]
    105:     prefix_char_ids = [vocab.word_to_char_ids(w) for w in prefix_words.split()]
>>> 106:     for _ in range(_NUM_SAMPLES):
    107:         inputs = np.zeros([BATCH_SIZE, NUM_TIMESTEPS], np.int32)
    108:         char_ids_inputs = np.zeros(",Training calls inside loop with no GPU memory cleanup (clear_session/del model/reset_default_graph/sess.close). Each iteration accumulates GPU memory → OOM.
IBM/MAX-News-Text-Generator,https://github.com/IBM/MAX-News-Text-Generator,lm_1b/lm_1b_eval.py,113,"    111:         char_ids_samples = prefix_char_ids[:]
    112:         sent = ''
>>> 113:         while True:
    114:             inputs[0, 0] = samples[0]
    115:             char_ids_inputs[0, 0, :] = char_ids_samples[0]",Training calls inside loop with no GPU memory cleanup (clear_session/del model/reset_default_graph/sess.close). Each iteration accumulates GPU memory → OOM.
uuujf/SGDNoise,https://github.com/uuujf/SGDNoise,FashionMNIST/model.py,133,"    131:     os.environ['CUDA_VISIBLE_DEVICES'] = ''
    132:     model = ConvSmallYu()
>>> 133:     sess = tf.Session()
    134:     sess.run(tf.global_variables_initializer())
    135:     x = np.ones((2,28,28,1))",TF Session assigned without .close() or context manager. GPU memory is never released.
MaxSobolMark/HardRLWithYoutube,https://github.com/MaxSobolMark/HardRLWithYoutube,baselines/baselines/deepq/deepq.py,34,"    32:             model_data, act_params = cloudpickle.load(f)
    33:         act = deepq.build_act(**act_params)
>>> 34:         sess = tf.Session()
    35:         sess.__enter__()
    36:         with tempfile.TemporaryDirectory() as td:",TF Session assigned without .close() or context manager. GPU memory is never released.
svjack/PhotoWCT,https://github.com/svjack/PhotoWCT,WCT/wct_edit.py,36,"    34:             config = tf.ConfigProto(allow_soft_placement=True)
    35:             config.gpu_options.allow_growth = True
>>> 36:             self.sess = tf.Session(config=config)
    37: 
    38:             relu_vars = tf.trainable_variables()",TF Session assigned without .close() or context manager. GPU memory is never released.
hengxyz/cari-visual-recognition-via-multitask-learning,https://github.com/hengxyz/cari-visual-recognition-via-multitask-learning,src/align_ext/face_detect_mtcnn.py,46,"    44:     with tf.Graph().as_default():
    45:         gpu_options = tf.GPUOptions(per_process_gpu_memory_fraction=args.gpu_memory_fraction)
>>> 46:         sess = tf.Session(config=tf.ConfigProto(gpu_options=gpu_options, log_device_placement=False))
    47:         with sess.as_default():
    48:             pnet, rnet, onet = detect_face.create_mtcnn(sess, '../../data/')",TF Session assigned without .close() or context manager. GPU memory is never released.
lok419/Reinforcement_learning_on_portfolio_selection,https://github.com/lok419/Reinforcement_learning_on_portfolio_selection,DPG.py,19,"    17:     config.gpu_options.allow_growth = True
    18:     config.gpu_options.per_process_gpu_memory_fraction = 0.3
>>> 19:     sess = tf.Session(config=config)
    20:     from keras import backend as K
    21:     K.set_session(sess)",TF Session assigned without .close() or context manager. GPU memory is never released.
lok419/Reinforcement_learning_on_portfolio_selection,https://github.com/lok419/Reinforcement_learning_on_portfolio_selection,DPG.py,141,"    139: 
    140:     # online mini-batch replay, for both test and train data
>>> 141:     for _ in range(rolling_steps):
    142:         batch, current_batch_size = buff.getBatch(BATCH_SIZE)
    143:         states = np.asarray([e[0] for e in batch])",Training calls inside loop with no GPU memory cleanup (clear_session/del model/reset_default_graph/sess.close). Each iteration accumulates GPU memory → OOM.
arrizalamin/portrait-mode,https://github.com/arrizalamin/portrait-mode,deeplab_model.py,26,"    24:             tf.import_graph_def(graph_def, name='')
    25: 
>>> 26:         self.sess = tf.Session(graph=self.graph)
    27: 
    28:     def run(self, image):",TF Session assigned without .close() or context manager. GPU memory is never released.
jsikyoon/bmaml_rl,https://github.com/jsikyoon/bmaml_rl,sandbox/rocky/tf/samplers/bmaml_batch_sampler.py,12,"    10: 
    11: def worker_init_tf(G):
>>> 12:     G.sess = tf.Session()
    13:     G.sess.__enter__()
    14: ",TF Session assigned without .close() or context manager. GPU memory is never released.
Sriram94/DMFG,https://github.com/Sriram94/DMFG,combinedarms/pettingzoomagentDMFGQLdecentralizedparallel.py,158,"    156:     parallel_env.seed(1)
    157:     RL = {}
>>> 158:     sess = tf.Session()
    159: 
    160: ",TF Session assigned without .close() or context manager. GPU memory is never released.
Hiroki11x/openFrameworksSample,https://github.com/Hiroki11x/openFrameworksSample,ofxMSATensorFlowMNISTSample/bin/py/mnist_simple.py,88,"    86:     
    87:     # Train
>>> 88:     for i in range(1000):
    89:         batch_xs, batch_ys = mnist.train.next_batch(100)
    90:         sess.run(train_step, {x: batch_xs, y_: batch_ys})",Training calls inside loop with no GPU memory cleanup (clear_session/del model/reset_default_graph/sess.close). Each iteration accumulates GPU memory → OOM.
PASAUCMerced/Sentinel,https://github.com/PASAUCMerced/Sentinel,tensorflow/tensorflow/python/debug/examples/debug_keras.py,41,"    39:       (xs, ys)).repeat(num_examples).batch(int(num_examples / steps_per_epoch))
    40: 
>>> 41:   sess = tf.Session()
    42:   if FLAGS.debug:
    43:     # Use the command-line interface (CLI) of tfdbg.",TF Session assigned without .close() or context manager. GPU memory is never released.
vishwajeet93/clqg,https://github.com/vishwajeet93/clqg,tensor2tensor/avg_checkpoints.py,88,"    86:   with tf.Session() as sess:
    87:     sess.run(tf.initialize_all_variables())
>>> 88:     for p, assign_op, (name, value) in zip(placeholders, assign_ops,
    89:                                            six.iteritems(var_values)):
    90:       sess.run(assign_op, {p: value})",Training calls inside loop with no GPU memory cleanup (clear_session/del model/reset_default_graph/sess.close). Each iteration accumulates GPU memory → OOM.
ZhenYangIACAS/unsupervised-NMT,https://github.com/ZhenYangIACAS/unsupervised-NMT,unsupervised_NMT_forEnde_v2_multiChannel_gan_directionalAttention/tensor2tensor/avg_checkpoints.py,88,"    86:   with tf.Session() as sess:
    87:     sess.run(tf.initialize_all_variables())
>>> 88:     for p, assign_op, (name, value) in zip(placeholders, assign_ops,
    89:                                            six.iteritems(var_values)):
    90:       sess.run(assign_op, {p: value})",Training calls inside loop with no GPU memory cleanup (clear_session/del model/reset_default_graph/sess.close). Each iteration accumulates GPU memory → OOM.
